Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
249,54,55,240,3446,1.47412109375
250,95,60,227,6435,3.178955078125
251,72,64,1,4608,2.9150390625
252,77,82,803,6477,2.619873046875
253,72,75,422,6202,2.628173828125
254,59,57,355,1253,0.59716796875
255,80,78,894,3814,1.6728515625
256,97,54,682,2862,1.2529296875
257,87,57,418,5711,2.39404296875
258,97,51,748,4042,1.672119140625
259,55,81,534,4764,1.93701171875
260,60,61,36,3876,2.22607421875
261,94,62,861,5266,2.144775390625
262,93,54,706,3396,1.445068359375
263,90,86,938,3631,1.626953125
264,50,94,615,2346,1.052978515625
265,62,93,841,4824,1.990966796875
266,92,50,580,2258,1.010009765625
267,95,65,51,6522,3.763916015625
268,53,67,342,4039,1.66796875
269,94,94,480,1582,0.947021484375
270,58,55,425,3049,1.251220703125
271,64,50,74,3433,1.89794921875
272,59,60,282,4057,1.73193359375
273,63,51,458,3093,1.26904296875
274,77,81,903,4300,1.825927734375
275,90,51,595,4846,1.962158203125
276,86,72,635,6900,3.01220703125
277,86,90,268,8629,4.7109375
278,100,90,745,10413,4.366943359375
279,59,50,282,950,0.471923828125
280,100,56,827,5175,2.25
281,64,70,8,24,0.2041015625
282,58,55,435,3219,1.39892578125
283,76,92,593,2089,1.054931640625
284,83,93,823,8412,3.44189453125
285,93,94,1241,8287,3.341796875
286,85,69,847,4128,1.751953125
287,86,87,1062,6941,2.866943359375
288,57,68,99,4230,2.360107421875
289,84,86,963,7266,2.947021484375
290,57,75,390,1382,0.68798828125
291,81,81,3,6609,4.200927734375
292,63,84,567,2139,1.008056640625
293,94,70,922,5934,2.447998046875
294,73,91,137,418,0.424072265625
